"No.","Time","Source","Destination","Protocol","Length","Info"
"287","9.666258","192.168.2.4","172.217.26.227","TCP","54","58357  >  443 [ACK] Seq=2175 Ack=87307 Win=258 Len=0"
"288","9.667194","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"289","9.667195","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"290","9.667232","192.168.2.4","172.217.26.227","TCP","54","58357  >  443 [ACK] Seq=2175 Ack=90163 Win=258 Len=0"
"291","9.669151","172.217.26.227","192.168.2.4","TLSv1.2","187","Application Data"
"292","9.669196","192.168.2.4","172.217.26.227","TCP","54","58357  >  443 [ACK] Seq=2175 Ack=90296 Win=258 Len=0"
"293","9.676625","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"294","9.676626","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"295","9.676627","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"296","9.676681","192.168.2.4","172.217.26.227","TCP","54","58357  >  443 [ACK] Seq=2175 Ack=94580 Win=258 Len=0"
"297","9.677537","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"298","9.677538","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"299","9.677571","192.168.2.4","172.217.26.227","TCP","54","58357  >  443 [ACK] Seq=2175 Ack=97436 Win=258 Len=0"
"300","9.677984","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"301","9.678020","192.168.2.4","172.217.26.227","TCP","54","58357  >  443 [ACK] Seq=2175 Ack=98864 Win=258 Len=0"
"302","9.679334","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"303","9.679335","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"304","9.679382","192.168.2.4","172.217.26.227","TCP","54","58357  >  443 [ACK] Seq=2175 Ack=101720 Win=258 Len=0"
"305","9.680932","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"306","9.680933","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"307","9.680981","192.168.2.4","172.217.26.227","TCP","54","58357  >  443 [ACK] Seq=2175 Ack=104576 Win=258 Len=0"
"308","9.681890","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"309","9.681893","172.217.26.227","192.168.2.4","TLSv1.2","1081","Application Data"
"310","9.681933","192.168.2.4","172.217.26.227","TCP","54","58357  >  443 [ACK] Seq=2175 Ack=107031 Win=258 Len=0"
"311","9.712356","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"312","9.712357","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"313","9.712358","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"314","9.712360","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"315","9.712434","192.168.2.4","172.217.26.227","TCP","54","58357  >  443 [ACK] Seq=2175 Ack=112743 Win=258 Len=0"
"316","9.714299","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"317","9.714300","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"318","9.714348","192.168.2.4","172.217.26.227","TCP","54","58357  >  443 [ACK] Seq=2175 Ack=115599 Win=258 Len=0"
"319","9.715276","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"320","9.715278","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"321","9.715319","192.168.2.4","172.217.26.227","TCP","54","58357  >  443 [ACK] Seq=2175 Ack=118455 Win=258 Len=0"
"322","9.716575","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"323","9.716576","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"324","9.716577","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
"325","9.716625","192.168.2.4","172.217.26.227","TCP","54","58357  >  443 [ACK] Seq=2175 Ack=122739 Win=258 Len=0"
"326","9.717038","172.217.26.227","192.168.2.4","TLSv1.2","1482","Application Data"
